Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,wild,ms_level,699_PH1_WH1 (1).mzXML,699_PH1_WH2 (1).mzXML,699_PH1_WH3 (1).mzXML,699_PH1_WH4 (1).mzXML
FT0090,114.091107264363,114.090847072227,114.0916408336,1604.66,1510.00268554688,1722.46301269531,369,4,1,402241.708417969,229204.331484371,333901.199023439,271080.25699219
FT0091,114.09111000102,114.090829588456,114.091353553061,1320.35377685547,1243.21,1384.58,248,4,1,737086.362441401,1104150.39575205,969813.962168847,807614.849262136
FT0092,114.091082751024,114.054522696182,114.091337437082,1160.61,1069.10192871094,1238.5849609375,264,4,1,382242.603828133,658622.938359381,1837178.78027506,559992.766684575
FT0093,114.091109380863,114.090831425122,114.091327411452,1847.57458496094,1730.79016113281,1951.98645019531,328,4,1,225509.336249999,273495.368122211,206805.222431642,168842.91172852
FT0094,114.091066940114,114.09098588391,114.091146088776,2032.7216796875,1960.11,2107.50439453125,216,4,1,208185.290728517,65077.3322591156,95040.8044482424,96653.3632421837
FT0095,114.091080553918,114.081289376693,114.108825611252,969.396,845.1201171875,1067.34265136719,275,4,1,574842.92712855,552990.331850195,1177640.91593125,552860.837368486
FT0096,114.091079401345,114.091000111956,114.09117555954,2180.00597167969,2112.56,2257.4462890625,178,4,1,52529.3382486947,166334.644068515,57240.5375830075,62536.4904199222
FT0097,114.09106677071,114.054653508887,114.095265347238,574.164367675781,452.386260986328,677.593,221,4,1,529674.410748711,657382.329484385,777735.570564065,1558514.11021356
FT0098,114.091093882086,114.090622644521,114.091523640101,725.583923339844,683.847534179688,767.179077148438,88,4,1,787504.511393851,1918860.82846221,914946.740432499,527274.775400995
FT0099,114.091077239366,114.090599864892,114.091260788421,807.978759765625,781.864562988281,836.596,65,4,1,370054.515081731,2946616.9353137,714071.852649913,608194.849271848
FT0100,114.091080503906,114.062765542801,114.091266254765,364.281005859375,300.550323486328,427.941,87,4,1,1078737.46416992,472822.585794271,283453.146562499,600296.257924498
FT0101,114.091095399294,114.062790625455,114.091304351328,216.262023864746,123.771751403809,292.787,100,4,1,709840.540563171,1111604.7809933,718828.321088136,5623873.91151905
FT0102,114.091090707891,114.090914342002,114.091328006524,2303.07861328125,2260.29,2413.38403320312,92,4,1,69187.2507734396,164856.980683595,43158.0551660127,64869.6946669905
FT0103,115.048251209359,115.038311147933,115.086353985344,141.500305175781,124.664741516113,191.574005126953,30,4,1,3669982.2824875,3904816.60891601,3605423.78685977,3448401.35232512
FT0104,115.111509471643,115.075166510015,115.111717034733,1327.33634765625,1286.43090820312,1386.50830078125,20,3,1,166053.155639648,512357.502665831,NA,1380803.38230469
FT0105,115.111505894254,115.111447496671,115.111783595187,1218.09533691406,1185.17687988281,1270.69,16,3,1,428117.065468758,491485.735253918,NA,472551.429374987
FT0106,115.111490201204,115.111420147951,115.111707600565,1458.79565429688,1397.12,1536.67578125,22,3,1,573587.926650396,307686.178993052,NA,333694.921763134
FT0107,115.084660438547,115.036370882651,115.112184265029,1060.81,1005.81915283203,1117.59533691406,13,4,1,37054.583181937,35280.0638028658,19904.4492480463,38579.9340087073
FT0108,115.111546297091,115.111478522154,115.111592080013,1613.86022949219,1567.04,1695.19250488281,6,3,1,320133.845624998,89511.1950488244,NA,107312.324796872
FT0109,115.075157376638,115.07493176822,115.075306301568,559.373,529.061,569.122436523438,3,2,1,NA,165983.240135191,NA,179474.555517579
FT0110,116.088053882395,116.08798514496,116.088114378124,1060.0986328125,1059.77,1060.7197265625,4,4,1,701930.091855466,788110.149481209,768051.331580206,720068.57091674
FT0111,116.088101801065,116.088045721941,116.088125139178,1313.30358886719,1311.29370117188,1313.31,3,3,1,28745.8948022458,45486.8030083007,74603.6366329747,NA
FT0112,116.0703273366,116.0703273366,116.0703273366,125.569694519043,125.569694519043,125.569694519043,1,1,1,NA,NA,218400.778252554,NA
FT0113,116.088083856654,116.088083856654,116.088083856654,1432.95837402344,1432.95837402344,1432.95837402344,1,1,1,NA,NA,NA,46871.9816890714
FT0114,116.985628825392,116.979228351951,116.989392839085,2254.37768554688,2111.46728515625,2386.04663085938,153,4,1,5290354.86709338,11864779.772344,8962337.56437526,6181462.17324858
FT0115,116.985660813867,116.983211444426,116.986487312981,1533.10213623047,1384.60546875,1657.20178222656,128,4,1,10515076.3599566,13966486.7929672,19002094.9575828,16028514.7799219
FT0116,116.985638763017,116.979310626537,116.986414527523,1848.7099609375,1793.85,1902.45935058594,53,4,1,3901187.24488651,23343.0275445558,3577277.0906251,6486747.51875003
FT0117,116.985652683159,116.984874140705,116.986443600885,1999.50317382812,1904.54,2107.6,95,4,1,9253024.24390496,5526598.21228117,3041829.15156261,3546348.50160711
FT0118,116.985665404278,116.985141811865,116.986438062491,1722.44,1662.2216796875,1785.47619628906,61,4,1,5927488.44970319,6333946.51500006,2194047.17999992,24753005.8569564
FT0119,116.985667093909,116.98548123139,116.986400297976,1288.90014648438,1182.29309082031,1383.57690429688,77,4,1,3872191.28041979,13113018.6199106,6130661.54479176,4145900.0578126
FT0120,116.985645363537,116.980472234205,116.985765862074,921.89111328125,834.541748046875,1006.91,59,4,1,1986537.51374997,10504799.1485195,114968.94594574,2284576.27309999
FT0121,116.985632617883,116.980551429941,116.985809612465,1143.36241210937,1106.82,1168.63195800781,22,4,1,9062985.57409762,17771003.7688,3699485.79562508,5727566.94526784
FT0122,116.985662777948,116.980784254235,116.985831343104,1066.810546875,1014.63696289062,1103.82275390625,31,4,1,2833399.70343749,10466487.7843815,5933606.28375006,8585101.11712582
FT0123,116.985648667569,116.985177737746,116.985821443686,516.70637890625,184.473052978516,683.866821289062,92,4,1,2032809.24755115,1039518.75618748,1238308.21171251,781967.885364593
FT0124,116.985592091056,116.947693842847,116.986104646637,2416.1,2399.86,2423.05126953125,13,4,1,371252.002984363,11598.4149142454,671352.858125906,38796.2353787436
FT0125,116.985650554423,116.985431053343,116.985720161326,754.837885742187,695.452,818.2666015625,38,4,1,1941634.65687503,1934489.08070268,2283860.47925625,9422448.38530874
FT0126,117.054350989402,117.054310553671,117.054355726619,123.775856018066,123.771751403809,124.672,3,3,1,106421.918326172,193842.549910034,142120.316504883,NA
FT0127,117.090716302492,117.06962583115,117.127823346011,1244.09773681641,1114.50622558594,1368.57556152344,26,4,1,320257.268273438,371353.297500005,334464.746703715,143973.35546875
FT0128,117.07288471299,117.072836731008,117.072974663793,606.909,595.439331054688,609.16162109375,7,4,1,1188291.00470486,1330566.89940781,830828.721778464,606784.12489063
FT0129,117.090690369227,117.090576274763,117.09075947229,1448.08471679688,1397.64489746094,1500.52880859375,5,3,1,143325.48508594,126793.354541016,95981.247641603,NA
FT0130,117.090714213495,117.090714213495,117.090714213495,1587.87561035156,1587.87561035156,1587.87561035156,1,1,1,NA,NA,211266.919631568,NA
FT0131,117.072942885614,117.072942885614,117.072942885614,239.068,239.068,239.068,1,1,1,NA,204015.197894359,NA,NA
FT0132,118.048773504456,118.046305905218,118.076199113277,130.124,123.771751403809,158.772613525391,7,4,1,55820.6221135602,123036.377036784,57827.0819377441,115748.357379102
FT0133,118.076226818443,118.076185952118,118.076276761864,608.045351318359,606.866943359375,608.810791015625,4,4,1,655571.534935678,585936.358246999,320654.89019375,568264.135505469
FT0134,118.076221760344,118.076189263535,118.076254257152,375.167344970703,373.619689941406,376.715,2,2,1,NA,131363.943512696,NA,524260.730296037
FT0135,118.076244501741,118.076244501741,118.076244501741,490.024688720703,490.024688720703,490.024688720703,1,1,1,NA,NA,200063.840326764,NA
FT0136,118.094028782146,118.094028782146,118.094028782146,1575.55,1575.55,1575.55,1,1,1,NA,8773.49892257674,NA,NA
FT0137,118.07304899435,118.07304899435,118.07304899435,1252.18,1252.18,1252.18,1,1,1,NA,18315.9365561743,NA,NA
FT0138,118.978630480231,118.963306503349,118.978760418707,2414.745,2412.02856445312,2418.88208007812,6,4,1,1109420.83837375,15859.1693853758,31389.8630108647,666884.91722946
FT0139,119.079559991429,119.071273526564,119.107871962531,529.061,306.092315673828,658.559448242188,114,4,1,42968.9227182127,1338037.3687214,651678.656806649,413971.272025867
