Row.names,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,blank,ms_level,Blank1a.mzXML,Blank1b (1).mzXML,Blank1b (2).mzXML,Blank1b.mzXML
FT0081,111.984235441989,111.984219980741,111.984250903238,2448.89013671875,2439.47021484375,2458.31005859375,2,1,1,36551.6201822923,NA,NA,NA
FT0082,112.119989737021,112.119989737021,112.119989737021,1757.29211425781,1757.29211425781,1757.29211425781,1,1,1,47291.5544018562,NA,NA,NA
FT0083,112.955743499451,112.955743499451,112.955743499451,-77.349599989891,-77.349599989891,-77.349599989891,1,1,1,19583.85381859,NA,NA,NA
FT0084,113.05956179437,113.0589236726,113.059973149771,780.606,665.723999023438,888.313,119,4,1,1099714.67535129,1362037.95861058,1362037.95861058,1362037.95861058
FT0085,113.05946231389,113.059408795705,113.059541075562,2173.76501464844,2131.63989257812,2238.75,72,3,1,NA,147665.726052732,147665.726052732,147665.726052732
FT0086,113.059561548715,113.023221420009,113.059784255135,1708.31005859375,1586.17407226562,1813.19,115,4,1,37638.3616259786,212329.398890383,212329.398890383,212329.398890383
FT0087,113.059603076541,113.058890144365,113.061346015889,247.979,94.3483505249023,340.946014404297,113,4,1,1321964.59690592,1850422.97838672,1850422.97838672,1850422.97838672
FT0088,113.059501560306,113.059411616614,113.059593755243,1925.86,1823.73999023438,2012.98,99,3,1,NA,117133.26789063,117133.26789063,117133.26789063
FT0089,113.059451661875,113.057151895602,113.060042164728,401.489994140625,360.108,435.901000976562,48,3,1,NA,2124860.5453673,1845293.82878859,1845293.82878859
FT0090,113.059479134758,113.059412180464,113.059535133465,2296.17,2248.97998046875,2334.41,51,3,1,NA,82649.6370941194,82649.6370941194,82649.6370941194
FT0091,113.059684377602,113.058964845081,113.060210122128,501.703002929688,458.572998046875,572.05,58,4,1,1670021.69138438,880284.278940426,880284.278940426,880284.278940426
FT0092,113.059574781287,113.058899534524,113.05999281363,1177.05004882812,1050.46997070312,1299.49,117,3,1,NA,1112401.16294188,1112401.16294188,1112401.16294188
FT0093,113.059574167065,113.059149684569,113.05985487709,1467.31500244141,1340.22998046875,1568.26000976562,96,3,1,NA,1853641.10233841,354903.690104167,354903.690104167
FT0094,113.059477839055,113.059418570354,113.059525771703,2066.5400390625,2034.38,2099.05004882812,42,3,1,NA,62408.8992919904,62408.8992919904,62408.8992919904
FT0095,113.05956386244,113.059152628487,113.059936089989,934.414001464844,904.072998046875,966.719,33,3,1,NA,2312510.88455466,2312510.88455466,2312510.88455466
FT0096,113.059545498165,113.059085867177,113.060089598323,1011.82500976563,986.817993164062,1047.13000488281,30,3,1,NA,2633603.73932757,4889355.51016189,4889355.51016189
FT0097,113.0596555253,113.059142830952,113.059843535384,613.898010253906,587.861,647.67,27,3,1,NA,3685705.21254366,3685705.21254366,3685705.21254366
FT0098,113.963736425431,113.963736425431,113.963736425431,125.190002441406,125.19,125.190002441406,3,3,1,NA,262190.399609375,262190.399609375,262190.399609375
FT0099,113.963536014963,113.963536014963,113.963536014963,2459.65991210938,2459.65991210938,2459.66,3,3,1,NA,90364.655227658,90364.655227658,90364.655227658
FT0100,113.964085558523,113.964085558523,113.964085558523,-78.261599989891,-78.261599989891,-78.261599989891,1,1,1,1198326.03086636,NA,NA,NA
FT0101,114.091090868126,114.090994122697,114.091173259583,2127.94494628906,2022.72998046875,2214.57006835938,108,3,1,NA,92331.3852211185,92331.3852211185,92331.3852211185
FT0102,114.091180961845,114.09083043794,114.091584984001,780.0455,648.802978515625,887.214,120,3,1,NA,755199.687916634,755199.687916634,755199.687916634
FT0103,114.091190522248,114.091102935767,114.091284001902,1739.66497802734,1676.33996582031,1802.74,72,3,1,NA,232031.874492187,339851.004159108,339851.004159108
FT0104,114.091117091823,114.09104094293,114.091154418948,2281.30004882812,2223.87,2338.17,69,3,1,NA,173314.06939453,173314.06939453,173314.06939453
FT0105,114.091155050264,114.091000291932,114.091428578156,1889.2900390625,1814.29,1996.26000976562,93,3,1,NA,147921.862412105,147921.862412105,147921.862412105
FT0106,114.091232849932,114.090843561216,114.091591425491,1193.66003417969,1100.61999511719,1280.67004394531,93,3,1,NA,676413.69374999,676413.69374999,676413.69374999
FT0107,114.091231773195,114.0909237666,114.091635599402,965.659973144531,901.838,1022.41,63,3,1,NA,577422.372779855,577422.372779855,577422.372779855
FT0108,114.0912012414,114.09100177093,114.091313946968,1612.31005859375,1543.33996582031,1656.11,54,3,1,NA,294688.353164064,294688.353164064,294688.353164064
FT0109,114.091218406122,114.090816019684,114.091856844478,460.856994628906,403.240997314453,535.780029296875,63,3,1,NA,3843894.11443426,3843894.11443426,3843894.11443426
FT0110,114.091164199774,114.090976300552,114.091394368072,1064.93994140625,1034.61999511719,1090.61,30,3,1,NA,758917.889101545,758917.889101545,758917.889101545
FT0111,114.091386157217,114.091160149979,114.091619551455,370.257,354.475,387.281005859375,21,3,1,NA,989650.675425787,989650.675425787,989650.675425787
FT0112,114.091188120109,114.091014548949,114.091677010478,600.328979492188,552.768981933594,643.189025878906,42,3,1,NA,1465860.06928125,1465860.06928125,1465860.06928125
FT0113,114.091205739161,114.091167331026,114.091615297711,1330.30004882812,1298.39,1368.82,36,3,1,NA,337222.147734373,337222.147734373,337222.147734373
FT0114,114.09120283233,114.09096093433,114.091651556856,1429.24,1390.69995117188,1470,36,3,1,NA,382281.644113764,376316.002734383,376316.002734383
FT0115,114.091201021933,114.091139992186,114.091488967533,1518.78002929688,1498.22998046875,1527.49,18,3,1,NA,2003416.97703723,2003416.97703723,2003416.97703723
FT0116,114.091370887362,114.090979752663,114.091785698812,264.700012207031,133.580993652344,342.075012207031,75,3,1,NA,920513.811331056,920513.811331056,920513.811331056
FT0117,114.091196965687,114.091196965687,114.091196965687,2456.94995117188,2456.94995117188,2456.95,3,3,1,NA,19314.3816767295,19314.3816767295,19314.3816767295
FT0118,114.956111931889,114.95609744351,114.983959065322,2458.31002929687,2446.23828125,2458.31005859375,6,4,1,36829.7355014649,32621.1882339466,32621.1882339466,32621.1882339466
FT0119,115.038765769696,115.038743842933,115.038787696459,152.276000610352,142.845,161.707000732422,6,3,1,NA,150953.8279375,74550.0733632813,74550.0733632813
FT0120,114.970259144508,114.95632715995,114.984191129065,-76.671599989891,-77.349599989891,-75.993599989891,2,1,1,65513.1666004486,NA,NA,NA
FT0121,114.947956668722,114.947955837075,114.94795750037,-191.308199989891,-198.753099989891,-183.863299989891,2,1,1,49467.7123951793,NA,NA,NA
FT0122,115.111605055726,115.111539277205,115.111778788155,1205.73,1132.92932128906,1252.05004882812,19,4,1,1122450.87120113,331708.818127144,331708.818127144,331708.818127144
FT0123,115.111663791394,115.11160040047,115.111704280448,1442.42541503906,1385.29,1449.47,8,4,1,245505.570468752,140246.611298828,140246.611298828,140246.611298828
FT0124,116.016337000659,116.016302226994,116.016416290839,714.750499023437,634.124,760.327026367188,30,3,1,NA,175854.06242773,392508.865305399,392508.865305399
FT0125,116.016287585244,116.016275713618,116.016317328126,379.244995117188,338.734985351562,412.233001708984,18,3,1,NA,267299.454779295,267299.454779295,267299.454779295
